Component Code,Unit Code,Tectonic Province,Unit Code,Physiographic Province,Unit Code,Geoform Origin,Geoform,Level 1,Level 2,Geoform Type,Level 1,Level 2,CMECS 2012 Definition
G,,,,,g3.19,Anthropogenic,Fill Area,,X,,,,A topographically low area into which unconsolidated material has been placed in order to raise the ground level as part of development or expansion of coastal infrastructure.
G,,,,,g3.19.1,Anthropogenic,Fill Area,,,Landfill,,X,A fill area where some form of solid waste is being used as the fill material.
G,,,,,g3.20,Anthropogenic,Fish Pond,,X,,,,"These are mostly enclosed basins, usually along the shore used to trap fish. During high tide they are open to the sea but as the tide recedes they become cut off to allow capture of the trapped fish. These features may be very old and have strong cultural and archaeological significance."
G,,,,,g3.21,Anthropogenic,Harbor,X,,,,,"A small bay or a sheltered part of a sea, lake, or other large body of water. A harbor is usually well protected (either naturally or artificially) against high waves and strong currents and serves as a safe anchorage for ships and where port facilities are present. Many smaller anthropogenic geoforms may be encountered within a harbor."
G,,,,,g3.22,Anthropogenic,Lock,,X,,,,A chamber designed to lift vessels—from one water body to another—by adjusting the level of water in the chamber.
G,,,,,g3.23,Anthropogenic,Lost/Discarded Fishing Gear,,X,,,,"This consists of nets, floats, weights and cabling associated with fishing activities, usually at a commercial level. This type of debris forms a serious hazard for marine life and can persist in the environment for long periods."
G,,,,,g3.24,Anthropogenic,Marina/Boat Ramp,,X,,,,"A series of docks, walkways, slips, and support infrastructure (such as cables and small pipelines) for in-water storage of yachts and boats. Marinas commonly include one or more boat ramps, which consist of a sloping driveway for launching small, trailered vessels."
G,,,,,g3.25,Anthropogenic,Mooring Field,X,,,,,"These are anchorages with many small, fixed buoys in place for securing yachts and other vessels."
G,,,,,g3.26,Anthropogenic,Mosquito Ditch,,X,,,,"Straight, narrow channels that were dug to drain the upper reaches of salt marshes in order to control the populations of mosquitoes that breed there. However, draining the standing water also impacts populations of mosquito-eating fish that live in those waters (http://www.edc.uri.edu/restoration/html/intro/salt.htm)."
G,,,,,g3.27,Anthropogenic,Outfall/Intake,,X,,,,"Outfalls are pipelines or tunnels that discharge municipal or industrial wastewater, storm water, combined sewer overflows, cooling water, or brine effluents to a receiving water body. Intakes are pipes designed (and placed) to draw lake or seawater into a man-made pond or other facility."
G,,,,,g3.28,Anthropogenic,Pilings,,X,,,,"A structure formed by piles that are long, slender columns—usually made of timber, steel, or reinforced concrete (see Figure 6.10)."
G,,,,,g3.29,Anthropogenic,Pipeline Area,X,,,,,A corridor through which one or more pipelines have been placed.
G,,,,,g3.30,Anthropogenic,Rip Rap Deposit,,X,,,,An accumulation of rock or boulders placed along a waterway or shoreline to reduce erosion.
G,,,,,g3.31,Anthropogenic,Salt Pond Complex,X,,,,,"A series of shallow ponds separated by berms or levels, designed to produce salt from marine water or other brines through the process of evapotranspiration. The ponds are periodically drained to harvest salts. These can support various microalgal communities while water is present."
G,,,,,g3.32,Anthropogenic,Salt Pond,,X,,,,Usually enclosed areas just landward of the shoreline with a permanent-to-intermittent flooding regime of saline-to-hypersaline waters.
G,,,,,g3.33,Anthropogenic,Seawall,X,,,,,"A man-made wall or embankment of stone, reinforced concrete, or other material along a shore that was built to prevent wave erosion. These are similar to jetties, but seawalls are more commonly oriented along the water's edge (instead of perpendicular to the shore)."
G,,,,,g3.34,Anthropogenic,Tidal/Wave Energy Structure,,X,,,,Structures that consist of long booms deployed at the surface or turbines placed on the seafloor or other structures. Some portions of these structures may form attachment surfaces for sessile fauna.
G,,,,,g3.35,Anthropogenic,Trash Aggregation,X,X,,,,"Aggregations of submerged, floating or suspended trash. These may be loose and mobile as when floating at the water's surface or consolidated by sediment on the bottom or along shore. Trash aggregations may be the result of local storm or seismic events such as floods or tsunamis. Trash aggregations can also form over long periods due to the action of large gyres and currents as in the mid-Pacific Ocean."
G,,,,,g3.36,Anthropogenic,Wharf,,X,,,,"A structure on the shore of a harbor where ships may dock to load and unload cargo or passengers. A wharf is usually a fixed platform, often on pilings. Smaller and more modern wharves are sometimes built on flotation devices (pontoons) to keep them at the same level as the ship—even during changing tides. Wharves form attachment surfaces for shellfish and sessile epifauna, and they are common aggregation points for fish. Also, wharves are often locations where contaminants are introduced into the environment (through spills or waste disposal)."
G,,,,,g3.37,Anthropogenic,Wind Energy Structure,,X,,,,"Structures deployed in the marine environment in order to produce energy from the wind. These structures often consist of piling, cabling supports, and associated anchoring devices."
G,,,,,g3.38,Anthropogenic,Wreck,,X,,,,"Any of a variety of man-made structures (such as sunken ships or collapsed drilling rigs) that have fallen to the seafloor. They may be either completely or partially submerged. Wrecks often provide valuable habitat for attaching organisms or fish, but they may also leach contaminants into the environment."
